museumLabel,inceptionYear,countryLabel,visitors,area,socialFollowers
Национальные музей и галерея Каподимонте,1757,Италия,76240,13077,
Национальные музей и галерея Каподимонте,1757,Италия,252770,15000,
Национальные музей и галерея Каподимонте,1757,Италия,252770,13077,
Национальные музей и галерея Каподимонте,1757,Италия,105307,15000,
Национальные музей и галерея Каподимонте,1757,Италия,105307,13077,
Национальные музей и галерея Каподимонте,1757,Италия,186351,15000,
Национальные музей и галерея Каподимонте,1757,Италия,186351,13077,
Национальные музей и галерея Каподимонте,1757,Италия,188009,15000,
Национальные музей и галерея Каподимонте,1757,Италия,188009,13077,
Галерея Академии (Венеция),1750,Италия,361934,12000,
Es Baluard,2004,Испания,,5000,
Es Baluard,2004,Испания,,2500,
Академия Каррары,1793,Италия,120000,1880,2905
Академия Святого Луки,1577,Италия,3000,5000,
Академия Святого Луки,1577,Италия,6000,5000,
Академия Святого Луки,1577,Италия,1500,5000,
Академия Святого Луки,1577,Италия,3000,484,
Академия Святого Луки,1577,Италия,6000,484,
Академия Святого Луки,1577,Италия,1500,484,
Академия Святого Луки,1577,Италия,291,5000,
Академия Святого Луки,1577,Италия,291,484,
Академия Святого Луки,1577,Италия,3154,5000,
Академия Святого Луки,1577,Италия,3154,484,
Музей Монтсеррат,1911,Испания,,8000,
Академия Каррары,1793,Италия,19157,1880,2905
Академия Каррары,1793,Италия,32623,1880,2905
Академия Каррары,1793,Италия,37426,1880,2905
Барджелло,1865,Италия,188906,3740,
Вилла Карлотта,1690,Италия,98812,2500,
Вилла Карлотта,1690,Италия,98812,72000,
Вилла Карлотта,1700,Италия,98812,2500,
Вилла Карлотта,1700,Италия,98812,72000,
Дворец Даванцети,1400,Италия,41296,1370,
Дворец Даванцети,1400,Италия,41296,796,
Дворец Даванцети,1400,Италия,48679,1370,
Дворец Даванцети,1400,Италия,48679,796,
Вилла Карлотта,1600,Италия,206859,2500,
Вилла Карлотта,1600,Италия,206859,72000,
Вилла Карлотта,1690,Италия,206859,2500,
Вилла Карлотта,1690,Италия,206859,72000,
Вилла Карлотта,1700,Италия,206859,2500,
Вилла Карлотта,1700,Италия,206859,72000,
Вилла Карлотта,1600,Италия,233691,2500,
Вилла Карлотта,1600,Италия,233691,72000,
Вилла Карлотта,1690,Италия,233691,2500,
Вилла Карлотта,1690,Италия,233691,72000,
Вилла Карлотта,1700,Италия,233691,2500,
Вилла Карлотта,1700,Италия,233691,72000,
Музей современного искусства Тренто и Роверето,1987,Италия,83259,6000,64757
Музей современного искусства Тренто и Роверето,1987,Италия,83259,5600,64757
Collegio del Cambio,1452,Италия,18000,300,
Collegio del Cambio,1452,Италия,18000,80,
Collegio del Cambio,1452,Италия,20650,300,
Collegio del Cambio,1452,Италия,20650,80,
Collegio del Cambio,1452,Италия,8294,300,
Collegio del Cambio,1452,Италия,8294,80,
Collegio del Cambio,1452,Италия,11676,300,
Collegio del Cambio,1452,Италия,11676,80,
Collegio del Cambio,1452,Италия,19313,300,
Collegio del Cambio,1452,Италия,19313,80,
Arkansas Museum of Fine Arts,1937,США,,133000,8654
Museo Diocesano of Palermo,1927,Италия,1147,1800,
Museo Diocesano of Palermo,1927,Италия,1147,2700,
Museo Diocesano of Palermo,1927,Италия,2328,1800,
Museo Diocesano of Palermo,1927,Италия,2328,2700,
Museo Diocesano of Palermo,1927,Италия,14256,1800,
Museo Diocesano of Palermo,1927,Италия,14256,2700,
Museo Diocesano of Palermo,1927,Италия,14351,1800,
Museo Diocesano of Palermo,1927,Италия,14351,2700,
Музей современного искусства Тренто и Роверето,1987,Италия,115976,6000,64757
Музей современного искусства Тренто и Роверето,1987,Италия,115976,5600,64757
Бруклинский музей,1897,США,500000,52000,654808
Galerie nationale du Jeu de Paume,1909,Франция,,1200,
Museo Fortuny,1956,Италия,57610,2040,
Museo Fortuny,1956,Италия,19103,2040,
Museo Fortuny,1956,Италия,41317,2040,
Музей Хорна,1921,Италия,931,630,
Музей Хорна,1921,Италия,1825,630,
Музей Хорна,1921,Италия,2865,630,
Музей Хорна,1921,Италия,9749,630,
Музей Хорна,1921,Италия,10006,630,
Музей современного искусства Тренто и Роверето,1987,Италия,142266,6000,64757
Музей современного искусства Тренто и Роверето,1987,Италия,142266,5600,64757
Музей современного искусства Тренто и Роверето,1987,Италия,92360,6000,64757
Музей современного искусства Тренто и Роверето,1987,Италия,92360,5600,64757
Museo Civico di Sansepolcro,1850,Италия,42780,2054,
Museo Civico di Sansepolcro,1850,Италия,42780,2211,
Museo Civico di Sansepolcro,1850,Италия,11593,2054,
Museo Civico di Sansepolcro,1850,Италия,11593,2211,
Museo Civico di Sansepolcro,1850,Италия,23003,2054,
Museo Civico di Sansepolcro,1850,Италия,23003,2211,
Museo Civico di Sansepolcro,1850,Италия,29564,2054,
Museo Civico di Sansepolcro,1850,Италия,29564,2211,
Museo Civico di Sansepolcro,1850,Италия,35629,2054,
Museo Civico di Sansepolcro,1850,Италия,35629,2211,
Museum Palazzo Massimo alle Terme,1995,Италия,,4230,
Музей современного искусства Тренто и Роверето,1987,Италия,50214,6000,64757
Музей современного искусства Тренто и Роверето,1987,Италия,50214,5600,64757
Карнавале,1880,Франция,1091105,10000,72105
Вилла Карлотта,1600,Италия,228590,2500,
Вилла Карлотта,1600,Италия,228590,72000,
Вилла Карлотта,1690,Италия,228590,2500,
Вилла Карлотта,1690,Италия,228590,72000,
Вилла Карлотта,1700,Италия,228590,2500,
Вилла Карлотта,1700,Италия,228590,72000,
Вилла Карлотта,1600,Италия,49161,2500,
Вилла Карлотта,1600,Италия,49161,72000,
Вилла Карлотта,1690,Италия,49161,2500,
Вилла Карлотта,1690,Италия,49161,72000,
Вилла Карлотта,1700,Италия,49161,2500,
Вилла Карлотта,1700,Италия,49161,72000,
Дворец Даванцети,1400,Италия,10626,1370,
Дворец Даванцети,1400,Италия,10626,796,
Дворец Даванцети,1400,Италия,10913,1370,
Дворец Даванцети,1400,Италия,10913,796,
Дворец Даванцети,1400,Италия,11396,1370,
Дворец Даванцети,1400,Италия,11396,796,
Дворец Даванцети,1400,Италия,36612,1370,
Дворец Даванцети,1400,Италия,36612,796,
Вилла Карлотта,1600,Италия,98812,2500,
Вилла Карлотта,1600,Италия,98812,72000,
Музей Багатти Вальсекки,1974,Италия,25000,1000,2284
Museo Civico San Domenico,2005,Италия,3477,2176,
Museo Civico San Domenico,2005,Италия,13579,2176,
Музей Багатти Вальсекки,1974,Италия,5221,1000,2284
Museo Civico San Domenico,2005,Италия,52537,2176,
Museo Civico San Domenico,2005,Италия,94711,2176,
Museo Civico San Domenico,2005,Италия,127339,2176,
Музей Багатти Вальсекки,1974,Италия,9009,1000,2284
Музей Багатти Вальсекки,1974,Италия,21351,1000,2284
Музей Багатти Вальсекки,1974,Италия,23691,1000,2284
Женевский музей искусства и истории,1910,Швейцария,110415,7000,
Музей Оранжери,1852,Франция,1029925,6300,88663
Museum of Italian Art,1923,Перу,,800,
Галерея Боргезе,1903,Италия,544290,2000,
Галерея Боргезе,1903,Италия,153068,2000,
Галерея Боргезе,1903,Италия,230062,2000,
Галерея Боргезе,1903,Италия,498477,2000,
Галерея Боргезе,1903,Италия,572976,2000,
Национальная галерея Австралии,1967,Австралия,455558,0.78486712,14600
Национальная галерея Австралии,1967,Австралия,455558,0.78486712,40465
Галерея Боргезе,1903,Италия,609423,2000,
Pietrarsa railway museum,1989,Италия,200000,36000,
Pietrarsa railway museum,1989,Италия,170000,36000,
Pietrarsa railway museum,1989,Италия,53553,36000,
Pietrarsa railway museum,1989,Италия,106649,36000,
Pietrarsa railway museum,1989,Италия,220158,36000,
Museum Gherdëina,1960,Италия,8000,550,
Museum Gherdëina,1960,Италия,8000,717,
Museum Gherdëina,1960,Италия,4900,550,
Museum Gherdëina,1960,Италия,4900,717,
Museum Gherdëina,1960,Италия,5550,550,
Museum Gherdëina,1960,Италия,5550,717,
Вилла Поджо-а-Кайано,1480,Италия,8823,4000,
Вилла Поджо-а-Кайано,1480,Италия,8823,3340,
Вилла Поджо-а-Кайано,1480,Италия,8823,9.31,
Вилла Поджо-а-Кайано,1480,Италия,8823,135.63,
Museum Gherdëina,1960,Италия,9523,550,
Museum Gherdëina,1960,Италия,9523,717,
Музей Оранжери,1852,Франция,380147,6300,88663
Вилла Поджо-а-Кайано,1480,Италия,57238,4000,
Вилла Поджо-а-Кайано,1480,Италия,57238,3340,
Вилла Поджо-а-Кайано,1480,Италия,57238,9.31,
Вилла Поджо-а-Кайано,1480,Италия,57238,135.63,
Galleria nazionale di Parma,1760,Италия,59757,10000,
Galleria nazionale di Parma,1760,Италия,59757,4452,
Галерея Эсте,1884,Италия,9049,1693,
Галерея Эсте,1884,Италия,9049,2023,
Галерея Эсте,1884,Италия,22996,1693,
Галерея Эсте,1884,Италия,22996,2023,
Галерея Эсте,1884,Италия,28123,1693,
Галерея Эсте,1884,Италия,28123,2023,
Galleria nazionale di Parma,1760,Италия,135398,10000,
Galleria nazionale di Parma,1760,Италия,135398,4452,
Галерея Эсте,1884,Италия,34313,1693,
Галерея Эсте,1884,Италия,34313,2023,
Галерея Эсте,1884,Италия,53495,1693,
Галерея Эсте,1884,Италия,53495,2023,
Кенвуд-хаус,1929,Великобритания,159556,47.02,
Museo dell'Opera Metropolitana del Duomo,1,Италия,2397030,2000,
Museo dell'Opera Metropolitana del Duomo,1,Италия,2397030,5123,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,2397030,2000,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,2397030,5123,
"Royal Palace National Museum, Pisa",1989,Италия,990,1000,
"Royal Palace National Museum, Pisa",1989,Италия,990,1900,
"Royal Palace National Museum, Pisa",1989,Италия,757,1000,
"Royal Palace National Museum, Pisa",1989,Италия,757,1900,
"Royal Palace National Museum, Pisa",1989,Италия,3778,1000,
"Royal Palace National Museum, Pisa",1989,Италия,3778,1900,
"Royal Palace National Museum, Pisa",1989,Италия,4058,1000,
"Royal Palace National Museum, Pisa",1989,Италия,4058,1900,
"Royal Palace National Museum, Pisa",1989,Италия,4718,1000,
"Royal Palace National Museum, Pisa",1989,Италия,4718,1900,
Museo dell'Opera Metropolitana del Duomo,1,Италия,939341,2000,
Museo dell'Opera Metropolitana del Duomo,1,Италия,939341,5123,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,939341,2000,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,939341,5123,
Национальный музей искусства Каталонии,1934,Испания,718000,45000,64222
Национальный музей искусства Каталонии,1934,Испания,466600,45000,64222
Национальный музей искусства Каталонии,1934,Испания,837700,45000,64222
Палаццо Барбаран да Порто,1570,Италия,5000,2300,
Палаццо Барбаран да Порто,1570,Италия,8960,2300,
Палаццо Барбаран да Порто,1570,Италия,19878,2300,
Палаццо Барбаран да Порто,1570,Италия,25833,2300,
Палаццо Барбаран да Порто,1570,Италия,32348,2300,
Diocesan Museum of Treviso,1988,Италия,200,500,
Diocesan Museum of Treviso,1988,Италия,200,550,
Diocesan Museum of Treviso,1988,Италия,3500,500,
Diocesan Museum of Treviso,1988,Италия,3500,550,
Museo dell'Opera Metropolitana del Duomo,1,Италия,2087773,2000,
Museo dell'Opera Metropolitana del Duomo,1,Италия,2087773,5123,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,2087773,2000,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,2087773,5123,
Museo dell'Opera Metropolitana del Duomo,1,Италия,2365631,2000,
Museo dell'Opera Metropolitana del Duomo,1,Италия,2365631,5123,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,2365631,2000,
Museo dell'Opera Metropolitana del Duomo,1869,Италия,2365631,5123,
Пинакотека Аньелли,2002,Италия,22039,2800,
Пинакотека Аньелли,2002,Италия,31895,2800,
Пинакотека Аньелли,2002,Италия,59563,2800,
Пинакотека Аньелли,2002,Италия,103451,2800,
Дом-музей Гёте (Рим),1997,Италия,8800,350,
Дом-музей Гёте (Рим),1997,Италия,8800,309,
Дом-музей Гёте (Рим),1997,Италия,1582,350,
Дом-музей Гёте (Рим),1997,Италия,1582,309,
Дом-музей Гёте (Рим),1997,Италия,2114,350,
Дом-музей Гёте (Рим),1997,Италия,2114,309,
Дом-музей Гёте (Рим),1997,Италия,4973,350,
Дом-музей Гёте (Рим),1997,Италия,4973,309,
Дом-музей Гёте (Рим),1997,Италия,8259,350,
Дом-музей Гёте (Рим),1997,Италия,8259,309,
house of Machiavelli,1,Италия,1000,200,
house of Machiavelli,1,Италия,1000,300,
house of Machiavelli,1,Италия,5000,200,
house of Machiavelli,1,Италия,5000,300,
house of Machiavelli,1,Италия,450,200,
house of Machiavelli,1,Италия,450,300,
Marino Marini Museum,1988,Италия,5886,1900,
Marino Marini Museum,1988,Италия,6104,1900,
Marino Marini Museum,1988,Италия,12953,1900,
Marino Marini Museum,1988,Италия,19425,1900,
Музей восточных искусств,1889,Франция,253223,4005,51620
Национальный музей искусства Каталонии,1934,Испания,653917,45000,64222
Museo Monumento al Deportato politico e razziale,1973,Италия,12000,700,
Museo Monumento al Deportato politico e razziale,1973,Италия,26000,700,
Museo Monumento al Deportato politico e razziale,1973,Италия,3460,700,
Museo Monumento al Deportato politico e razziale,1973,Италия,5959,700,
Капелла Сан-Северо,1593,Италия,175138,300,
Капелла Сан-Северо,1593,Италия,175138,250,
Museo Monumento al Deportato politico e razziale,1973,Италия,22857,700,
Капелла Сан-Северо,1593,Италия,234693,300,
Капелла Сан-Северо,1593,Италия,234693,250,
Капелла Сан-Северо,1593,Италия,558895,300,
Капелла Сан-Северо,1593,Италия,558895,250,
Палатинская галерея,1828,Италия,386993,4600,
Палатинская галерея,1833,Италия,386993,4600,
Палатинская галерея,1828,Италия,386993,47935,
Палатинская галерея,1833,Италия,386993,47935,
Палатинская галерея,1828,Италия,400626,4600,
Палатинская галерея,1833,Италия,400626,4600,
Палатинская галерея,1828,Италия,400626,47935,
Палатинская галерея,1833,Италия,400626,47935,
Капелла Сан-Северо,1593,Италия,698532,300,
Капелла Сан-Северо,1593,Италия,698532,250,
Капелла Сан-Северо,1593,Италия,758453,300,
Капелла Сан-Северо,1593,Италия,758453,250,
Палатинская галерея,1828,Италия,734571,4600,
Палатинская галерея,1833,Италия,734571,4600,
Палатинская галерея,1828,Италия,734571,47935,
Палатинская галерея,1833,Италия,734571,47935,
Палатинская галерея,1828,Италия,777219,4600,
Палатинская галерея,1833,Италия,777219,4600,
Палатинская галерея,1828,Италия,777219,47935,
Палатинская галерея,1833,Италия,777219,47935,
Museo diocesano d'arte sacra (Susa),2000,Италия,1200,1020,
Museo diocesano d'arte sacra (Susa),2000,Италия,3800,1020,
Museo diocesano d'arte sacra (Susa),2000,Италия,5420,1020,
Museo diocesano d'Arte Sacra,1998,Италия,10384,470,
Museo diocesano d'Arte Sacra,1998,Италия,10384,356,
Museo diocesano di Chiavari,1984,Италия,1000,120,
Museo diocesano di Chiavari,1984,Италия,800,120,
Museo diocesano di Chiavari,1984,Италия,1100,120,
Museo diocesano d'Arte Sacra,1998,Италия,13649,470,
Museo diocesano d'Arte Sacra,1998,Италия,13649,356,
Museo diocesano di Chiavari,1984,Италия,2018,120,
Museo diocesano di Faenza-Modigliana,2000,Италия,400,600,
Museo diocesano di Faenza-Modigliana,2000,Италия,400,442,
Museo diocesano di Faenza-Modigliana,2000,Италия,450,600,
Museo diocesano di Faenza-Modigliana,2000,Италия,450,442,
Museo diocesano d'Arte Sacra,1998,Италия,15436,470,
Museo diocesano d'Arte Sacra,1998,Италия,15436,356,
Museo diocesano d'Arte Sacra,1998,Италия,21444,470,
Museo diocesano d'Arte Sacra,1998,Италия,21444,356,
Museo Diocesano di Pitigliano,1989,Италия,6073,1300,
Museo Diocesano di Pitigliano,1989,Италия,6073,2700,
Museo Diocesano di Pitigliano,1989,Италия,8266,1300,
Museo Diocesano di Pitigliano,1989,Италия,8266,2700,
Museo diocesano d'Arte Sacra,1998,Италия,30435,470,
Museo diocesano d'Arte Sacra,1998,Италия,30435,356,
Museo Diocesano di Pitigliano,1989,Италия,11177,1300,
Museo Diocesano di Pitigliano,1989,Италия,11177,2700,
Museo Diocesano di Pitigliano,1989,Италия,13097,1300,
Museo Diocesano di Pitigliano,1989,Италия,13097,2700,
San Sebastiano Diocesan Museum,2012,Италия,7000,800,
San Sebastiano Diocesan Museum,2012,Италия,1186,800,
San Sebastiano Diocesan Museum,2012,Италия,3769,800,
Christian Diocesan Museum and Treasure of the Cathedral of Cividale del Friuli,1946,Италия,12000,200,
Christian Diocesan Museum and Treasure of the Cathedral of Cividale del Friuli,1946,Италия,12000,350,
Christian Diocesan Museum and Treasure of the Cathedral of Cividale del Friuli,1946,Италия,17000,200,
Christian Diocesan Museum and Treasure of the Cathedral of Cividale del Friuli,1946,Италия,17000,350,
Diocesan Museum in Volterra,1932,Италия,650,1000,
Diocesan Museum in Volterra,1932,Италия,1281,1000,
Diocesan Museum of Concordia-Pordenone,1991,Италия,200,600,
Diocesan Museum of Concordia-Pordenone,1991,Италия,120,600,
Diocesan Museum of Concordia-Pordenone,1991,Италия,950,600,
Diocesan Museum of Naples,2007,Италия,10000,3000,
Diocesan Museum of Naples,2007,Италия,10000,400,
Diocesan Museum of Naples,2007,Италия,5000,3000,
Diocesan Museum of Naples,2007,Италия,5000,400,
Diocesan Museum of Naples,2007,Италия,15000,3000,
Diocesan Museum of Naples,2007,Италия,15000,400,
Diocesan Museum of Pinerolo,1997,Италия,500,520,
Diocesan museum of sacred art,1987,Италия,1500,160,
Diocesan museum of sacred art,1987,Италия,1900,160,
Diocesan museum of sacred art,1987,Италия,1500,171,
Diocesan museum of sacred art,1987,Италия,1900,171,
Diocesan museum of sacred art (Arezzo),1963,Италия,2376,300,
Diocesan museum of sacred art (Arezzo),1963,Италия,2376,450,
Diocesan museum of sacred art (Arezzo),1963,Италия,3898,300,
Diocesan museum of sacred art (Arezzo),1963,Италия,3898,450,
Diocesan Museum of Sacred Art of Novalesa,2003,Италия,500,300,
Diocesan Museum of Sacred Art of Novalesa,2003,Италия,150,300,
Diocesan Museum of Sacred Art of Novalesa,2003,Италия,368,300,
Diocesan Museum of Sacred Art of San Miniato,1966,Италия,520,190,
Diocesan Museum of Sacred Art of San Miniato,1966,Италия,580,190,
Diocesan Museum of Sacred Art of San Miniato,1966,Италия,1080,190,
Diocesan Museum of Sacred Art of Santa Severina,1998,Италия,4000,5000,
Diocesan Museum of Sacred Art of Santa Severina,1998,Италия,800,5000,
Diocesan Museum of Sacred Art of San Miniato,1966,Италия,2045,190,
Diocesan museum of sacred art (Arezzo),1963,Италия,7008,300,
Diocesan museum of sacred art (Arezzo),1963,Италия,7008,450,
Diocesan Museum of Sacred Art of Santa Severina,1998,Италия,2120,5000,
Diocesan Museum of Teggiano,1930,Италия,9000,250,
Diocesan Museum of Teggiano,1930,Италия,9000,350,
Diocesan Museum of Teggiano,1930,Италия,2400,250,
Diocesan Museum of Teggiano,1930,Италия,2400,350,
Diocesan Museum of Teggiano,1930,Италия,630,250,
Diocesan Museum of Teggiano,1930,Италия,630,350,
Diocesan Museum of Teggiano,1930,Италия,1649,250,
Diocesan Museum of Teggiano,1930,Италия,1649,350,
Diocesan Museum of Naples,2007,Италия,21788,3000,
Diocesan Museum of Naples,2007,Италия,21788,400,
Diocesan Museum of Trani,1975,Италия,5000,1200,
Diocesan Museum of Trani,1975,Италия,500,1200,
Diocesan Museum of Trani,1975,Италия,5000,1500,
Diocesan Museum of Trani,1975,Италия,500,1500,
Diocesan Museum of Trani,1975,Италия,2386,1200,
Diocesan Museum of Trani,1975,Италия,2386,1500,
Diocesan Museum of Vicenza,2005,Италия,17320,1390,
Diocesan Museum of Vicenza,2005,Италия,4642,1390,
Diocesan Museum of Vicenza,2005,Италия,6454,1390,
Diocese museum of Reggio Emilia,1994,Италия,8000,500,
Diocese museum of Reggio Emilia,1994,Италия,800,500,
Diocese museum of Reggio Emilia,1994,Италия,8000,700,
Diocese museum of Reggio Emilia,1994,Италия,800,700,
Diocese museum of Reggio Emilia,1994,Италия,2200,500,
Diocese museum of Reggio Emilia,1994,Италия,2200,700,
Diocesan Museum of Vicenza,2005,Италия,13757,1390,
Diocesan Museum of Vicenza,2005,Италия,16463,1390,
Giaglione Diocesan Museum of Religious Art,1994,Италия,100,200,
Giaglione Diocesan Museum of Religious Art,1994,Италия,50,200,
Giaglione Diocesan Museum of Religious Art,1994,Италия,80,200,
Museo diocesano d'arte sacra Andrea Guardi,2001,Италия,,80,
Museum of Musical Instruments,2001,Италия,1719640,2400,
Museum of Musical Instruments,2001,Италия,1719640,25000,
Museum of Musical Instruments,2001,Италия,319599,2400,
Museum of Musical Instruments,2001,Италия,319599,25000,
Museo d'Arte Antica,1900,Италия,,4497,
Tesoro dei Granduchi,1919,Италия,1,1882,
Tesoro dei Granduchi,1919,Италия,1,2142,
Treasure Museum of the basilica of Saint Francis in Assisi,1926,Италия,30500,523,
Treasure Museum of the basilica of Saint Francis in Assisi,1926,Италия,40720,523,
Treasure Museum of the basilica of Saint Francis in Assisi,1926,Италия,52160,523,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,100,250,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,100,350,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,180,250,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,180,350,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,910,250,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,910,350,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,479,250,
Diocesan Museum of Sacred Art of San Leo,1996,Италия,479,350,
Музей Рисоджименто (Милан),1885,Италия,18000,800,
Музей Рисоджименто (Милан),1885,Италия,5144,800,
Музей Рисоджименто (Милан),1885,Италия,6606,800,
Музей Рисоджименто (Милан),1885,Италия,31215,800,
Музей Рисоджименто (Милан),1885,Италия,43752,800,
Edoardo Chiossone Museum of Oriental Art,1905,Италия,3523,1019,
Edoardo Chiossone Museum of Oriental Art,1905,Италия,4522,1019,
Edoardo Chiossone Museum of Oriental Art,1905,Италия,10813,1019,
Edoardo Chiossone Museum of Oriental Art,1905,Италия,12348,1019,
Музей Рисоджименто (Милан),1885,Италия,81351,800,
Museum of Musical Instruments,2001,Италия,1704451,2400,
Museum of Musical Instruments,2001,Италия,1704451,25000,
Camaiore Religious Art Museum,1936,Италия,1500,1500,
Museo dei Cappuccini,2005,Италия,13000,300,
Museo dei Cappuccini,2005,Италия,13000,400,
Museo dei Cappuccini,2005,Италия,35000,300,
Museo dei Cappuccini,2005,Италия,35000,400,
Museum of Oriental Art,2008,Италия,37604,1413,
Museum of Oriental Art,2008,Италия,54838,1413,
Museum of Oriental Art,2008,Италия,99879,1413,
Museum of Oriental Art,2008,Италия,119108,1413,
Lissone contemporary art museum,2002,Италия,2154,1000,
Lissone contemporary art museum,2002,Италия,2154,964,
Lissone contemporary art museum,2002,Италия,3454,1000,
Lissone contemporary art museum,2002,Италия,3454,964,
Lissone contemporary art museum,2002,Италия,4662,1000,
Lissone contemporary art museum,2002,Италия,4662,964,
Lissone contemporary art museum,2002,Италия,11307,1000,
